iter	Passed	Remaining
0	0	91
1	1	90
2	2	85
3	3	83
4	4	81
5	5	79
6	5	79
7	6	78
8	7	76
9	8	75
10	9	74
11	10	73
12	10	73
13	11	72
14	12	71
15	13	70
16	14	69
17	14	68
18	15	67
19	16	66
20	17	66
21	18	65
22	19	65
23	20	64
24	21	64
25	22	63
26	23	63
27	24	62
28	25	61
29	26	60
30	27	60
31	28	59
32	29	58
33	29	57
34	30	57
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	36	51
41	36	50
42	37	49
43	38	48
44	39	47
45	39	46
46	40	45
47	41	45
48	42	44
49	43	43
50	44	42
51	44	41
52	45	40
53	46	39
54	47	39
55	48	38
56	49	37
57	49	36
58	50	35
59	51	34
60	52	33
61	53	32
62	53	31
63	54	30
64	55	29
65	56	28
66	56	28
67	57	27
68	58	26
69	59	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	63	20
76	64	19
77	65	18
78	65	17
79	66	16
80	67	15
81	68	15
82	69	14
83	69	13
84	70	12
85	71	11
86	72	10
87	73	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	77	4
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
